دسته‌بندی,آیتم,اولویت,وضعیت,توضیحات
محتوای پزشکان,عکس پروفایل 199 پزشک,بالا,ناقص,"فقط چند نفر عکس دارند - نیاز به عکس‌گیری حرفه‌ای"
محتوای پزشکان,رزومه و تحصیلات پزشکان,بالا,ناقص,"نیاز به CV کامل هر پزشک"
محتوای پزشکان,حوزه تخصصی هر پزشک,متوسط,ناقص,"لیست دقیق تخصص‌های فرعی"
محتوای پزشکان,مقالات منتشر شده,پایین,ناقص,"لینک به مقالات علمی"
نظرات بیماران,نظرات واقعی بیماران,بالا,ناقص,"جمع‌آوری feedback از بیماران قبلی"
نظرات بیماران,امتیازدهی پزشکان,متوسط,ناقص,"سیستم ریویو و rating"
ویدیو,راهنمای پذیرش تا ترخیص,بالا,ندارد,"فیلمبرداری فرآیند کامل"
ویدیو,معرفی بخش‌ها,بالا,ندارد,"تور ویدیویی NICU، ICU، CCU، Royal، IPD"
ویدیو,مصاحبه با پزشکان,متوسط,ندارد,"ویدیو معرفی 10-15 پزشک برتر"
ویدیو,راهنمای استفاده از تجهیزات,پایین,ندارد,"آموزش تجهیزات به بیماران"
مقالات و اخبار,مقالات سلامت هفتگی,بالا,ندارد,"محتوای آموزشی منظم"
مقالات و اخبار,اخبار بیمارستان,متوسط,ندارد,"آپدیت هفتگی فعالیت‌ها"
مقالات و اخبار,دستاوردها و افتخارات,متوسط,دارد,"تکمیل با موارد جدید"
رویدادها,تقویم سمینارهای آموزشی,بالا,ندارد,"برنامه ماهانه کارگاه‌ها"
رویدادها,کنفرانس‌های علمی,متوسط,ندارد,"رویدادهای پزشکی"
تصاویر,گالری عکس بخش‌ها,بالا,ناقص,"عکس حرفه‌ای تمام بخش‌ها"
تصاویر,عکس تجهیزات پزشکی,متوسط,ناقص,"دستگاه‌های پیشرفته"
تصاویر,عکس محیط بیمارستان,متوسط,دارد,"تکمیل با تصاویر بیشتر"
تصاویر,عکس تیم پزشکی,متوسط,ناقص,"عکس گروهی کادر"
اطلاعات بخش‌ها,ساعات کاری دقیق هر کلینیک,بالا,ناقص,"جدول کامل شیفت‌ها"
اطلاعات بخش‌ها,لیست تجهیزات هر بخش,متوسط,ناقص,"اینونتوری تجهیزات"
اطلاعات بخش‌ها,پروتکل‌های درمانی,پایین,ندارد,"راهنماهای استاندارد"
بخش بین‌الملل,بروشور انگلیسی,بالا,ندارد,"PDF معرفی به انگلیسی"
بخش بین‌الملل,بروشور عربی,متوسط,ندارد,"PDF معرفی به عربی"
بخش بین‌الملل,پکیج‌های درمانی,بالا,ندارد,"قیمت و جزئیات پکیج‌ها"
بخش بین‌الملل,لیست هتل‌های همکار,متوسط,ندارد,"هتل‌های نزدیک"
خدمات آنلاین,سیستم دریافت نتایج آزمایش,بالا,ندارد,"نیاز به Backend API"
خدمات آنلاین,سیستم دریافت تصاویر رادیولوژی,بالا,ندارد,"نیاز به فضای ذخیره‌سازی"
خدمات آنلاین,پلتفرم ویدیو کال,متوسط,ندارد,"انتخاب و پیاده‌سازی پلتفرم"
خدمات آنلاین,سیستم چت آنلاین,متوسط,ندارد,"Live chat با پزشکان"
خدمات آنلاین,اپلیکیشن موبایل,پایین,ندارد,"PWA یا Native App"
بیمه و پرداخت,جزئیات قراردادهای بیمه,متوسط,ناقص,"شرایط دقیق هر بیمه"
بیمه و پرداخت,درگاه پرداخت آنلاین,بالا,ندارد,"پرداخت نوبت و خدمات"
بیمه و پرداخت,لیست تعرفه‌ها,متوسط,ندارد,"قیمت خدمات سرپایی"
آموزش,راهنمای بیماران قلبی,متوسط,ندارد,"PDF آموزشی"
آموزش,راهنمای بیماران دیابتی,متوسط,ندارد,"PDF آموزشی"
آموزش,راهنمای مراقبت از نوزاد,بالا,ندارد,"برای والدین"
آموزش,راهنمای تغذیه سالم,پایین,ندارد,"محتوای تغذیه‌ای"
تماس و پشتیبانی,شماره واتساپ پشتیبانی,بالا,ندارد,"خط ویژه واتساپ"
تماس و پشتیبانی,ایمیل‌های تخصصی هر بخش,متوسط,ناقص,"ایمیل مستقیم به بخش‌ها"
تماس و پشتیبانی,چت‌بات هوشمند,پایین,ندارد,"پاسخگویی خودکار 24/7"
آمار و ارقام,آمار عملکرد سالانه,متوسط,ندارد,"تعداد بیماران، عمل‌ها، موفقیت"
آمار و ارقام,رضایت‌سنجی,متوسط,ندارد,"نظرسنجی منظم"
آمار و ارقام,میزان موفقیت جراحی‌ها,پایین,ندارد,"Statistics درمان"
قوانین و مقررات,شرایط و ضوابط بستری,متوسط,ناقص,"PDF قوانین"
قوانین و مقررات,حقوق بیمار,بالا,ناقص,"منشور حقوق بیمار"
قوانین و مقررات,ضوابط ملاقات,متوسط,دارد,"تکمیل شده"
